Period,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00,8636 days 00:00:00
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.4995173800500226,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489,5.421707020731489
Win Rate [%],100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,
Best Trade [%],5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,5.348828249238139,,,,,,,,,,,,,,,
Worst Trade [%],5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,5.348828249238139,,,,,,,,,,,,,,,
Avg Winning Trade [%],5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,5.348828249238139,,,,,,,,,,,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,8630 days 00:00:00,8630 days 00:00:00,8630 days 00:00:00,8630 days 00:00:00,,8630 days 00:00:00,8630 days 00:00:00,8630 days 00:00:00,8630 days 00:00:00,8626 days 00:00:00,,,,,,,,,,,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,
Expectancy,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,,5.449007634288236,5.449007634288236,5.449007634288236,5.449007634288236,5.348828249238139,,,,,,,,,,,,,,,
Sharpe Ratio,0.10284481761370934,0.10284481761370934,0.10284481761370934,0.10284481761370934,inf,0.10284481761370934,0.10284481761370934,0.10284481761370934,0.10284481761370934,0.10107818826350538,0.10374655491995101,0.10374655491995101,0.10374655491995101,0.10374655491995101,0.10374655491995101,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363,0.1023529417995363
Calmar Ratio,0.024791113170753377,0.024791113170753377,0.024791113170753377,0.024791113170753377,,0.024791113170753377,0.024791113170753377,0.024791113170753377,0.024791113170753377,0.024295321380113966,0.025041685630831898,0.025041685630831898,0.025041685630831898,0.025041685630831898,0.025041685630831898,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435,0.024655845211860435
Omega Ratio,1.0166407170178047,1.0166407170178047,1.0166407170178047,1.0166407170178047,inf,1.0166407170178047,1.0166407170178047,1.0166407170178047,1.0166407170178047,1.0163583625784616,1.0167865977844446,1.0167865977844446,1.0167865977844446,1.0167865977844446,1.0167865977844446,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056,1.01655691227056
Sortino Ratio,0.15068548650739286,0.15068548650739286,0.15068548650739286,0.15068548650739286,inf,0.15068548650739286,0.15068548650739286,0.15068548650739286,0.15068548650739286,0.14808929042591404,0.15200753613607842,0.15200753613607842,0.15200753613607842,0.15200753613607842,0.15200753613607842,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606,0.14995920485408606
