,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Max Drawdown Duration,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00,3172 days 00:00:00
Total Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Closed Trades,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519065866827134,0.519065866827134,0.519065866827134,0.519065866827134,0.519065866827134
Win Rate [%],100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
Best Trade [%],0.5692211423807123,0.5692211423807123,0.5692211423807123,0.7372242864787353,,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.779850120402898,0.779850120402898,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.6783006862331433,0.6783006862331433,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,,,,,
Worst Trade [%],0.5692211423807123,0.5692211423807123,0.5692211423807123,0.7372242864787353,,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.779850120402898,0.779850120402898,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.6783006862331433,0.6783006862331433,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,,,,,
Avg Winning Trade [%],0.5692211423807123,0.5692211423807123,0.5692211423807123,0.7372242864787353,,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.779850120402898,0.779850120402898,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.6783006862331433,0.6783006862331433,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3681 days 00:00:00,,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3693 days 00:00:00,3691 days 00:00:00,3691 days 00:00:00,3695 days 00:00:00,3695 days 00:00:00,3695 days 00:00:00,3695 days 00:00:00,3695 days 00:00:00,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,
Expectancy,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.7372242864787353,,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.779850120402898,0.779850120402898,0.5692211423807123,0.5692211423807123,0.5692211423807123,0.6783006862331433,0.6783006862331433,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,0.5228295028002776,,,,,
Sharpe Ratio,0.040958247514005175,0.040958247514005175,0.040958247514005175,0.050579144019013596,inf,0.040958247514005175,0.040958247514005175,0.040958247514005175,0.05301477587290333,0.05301477587290333,0.040958247514005175,0.040958247514005175,0.040958247514005175,0.04719074894013826,0.04719074894013826,0.038314598838310815,0.038314598838310815,0.038314598838310815,0.038314598838310815,0.038314598838310815,0.03810031905661645,0.03810031905661645,0.03810031905661645,0.03810031905661645,0.03810031905661645
Calmar Ratio,0.008925161237458262,0.008925161237458262,0.008925161237458262,0.01158813427626831,,0.008925161237458262,0.008925161237458262,0.008925161237458262,0.012265884058622011,0.012265884058622011,0.008925161237458262,0.008925161237458262,0.008925161237458262,0.010652650728135432,0.010652650728135432,0.008192139582433165,0.008192139582433165,0.008192139582433165,0.008192139582433165,0.008192139582433165,0.00813271533605624,0.00813271533605624,0.00813271533605624,0.00813271533605624,0.00813271533605624
Omega Ratio,1.0064696885169486,1.0064696885169486,1.0064696885169486,1.008010888566217,inf,1.0064696885169486,1.0064696885169486,1.0064696885169486,1.008390177071774,1.008390177071774,1.0064696885169486,1.0064696885169486,1.0064696885169486,1.0074607837835527,1.0074607837835527,1.0060496846410771,1.0060496846410771,1.0060496846410771,1.0060496846410771,1.0060496846410771,1.0060156482779548,1.0060156482779548,1.0060156482779548,1.0060156482779548,1.0060156482779548
Sortino Ratio,0.05717686986945351,0.05717686986945351,0.05717686986945351,0.07061182122958137,inf,0.05717686986945351,0.05717686986945351,0.05717686986945351,0.07402267952943767,0.07402267952943767,0.05717686986945351,0.05717686986945351,0.05717686986945351,0.06588314880197202,0.06588314880197202,0.053485551237556696,0.053485551237556696,0.053485551237556696,0.053485551237556696,0.053485551237556696,0.05318642333007895,0.05318642333007895,0.05318642333007895,0.05318642333007895,0.05318642333007895
