Period,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00,3282 days 00:00:00
Total Trades,219,210,208,201,202,203,189,190,188,188,181,169,167,172,166,166,151,148,155,151,146,136,129,136,130
Total Closed Trades,219,210,208,201,202,203,189,190,188,188,181,169,167,172,166,166,151,148,155,151,146,136,129,136,130
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],68.0365296803653,70.47619047619048,71.15384615384616,70.64676616915423,71.78217821782178,69.45812807881774,71.42857142857143,71.05263157894737,70.74468085106383,71.80851063829788,67.95580110497238,71.00591715976331,70.05988023952095,69.18604651162791,71.08433734939759,68.67469879518072,72.84768211920529,70.94594594594594,70.3225806451613,74.17218543046357,65.75342465753424,69.11764705882352,68.21705426356588,69.11764705882352,73.07692307692307
Best Trade [%],0.5745067445045606,1.0151374548781125,1.0151374548781253,1.015137454878128,1.0151374548781165,0.9057835366106048,1.0151374548781253,1.0151374548781222,1.0151374548781127,1.015137454878117,0.9057835366106066,1.0151374548781293,1.0151374548781285,1.0151374548781238,1.0151374548781216,0.9057835366106017,1.0151374548781127,1.0151374548781333,1.0151374548781247,1.0151374548781238,0.9422972940423953,1.0151374548781211,1.015137454878123,1.0151374548781242,1.0151374548781245
Worst Trade [%],-1.6513268761681756,-1.7146049488584127,-1.568864980103618,-2.07997351535398,-1.8163041504107156,-1.6175580505313072,-1.925008145264801,-1.5116347687651082,-1.7163414161526553,-1.5511961753319659,-1.6175580505313252,-1.9250081452648,-1.511634768765109,-1.7163414161526662,-1.5511961753319676,-0.79301017674678,-1.9250081452647858,-1.161571493396734,-0.7596230387440401,-0.8889664048586104,-0.7930101767467677,-1.9250081452647936,-1.1615714933967414,-0.7596230387440456,-0.8889664048586075
Avg Winning Trade [%],0.17421252301957554,0.18555925327181796,0.17681717466947375,0.19015907978652635,0.19016985270628722,0.1826992716761981,0.1876732641229437,0.17339952473016468,0.18415730276578257,0.18138538169661517,0.18866298421958597,0.1934156249833593,0.17934030287288807,0.18223423509985937,0.18422824482829192,0.18160186306941598,0.1858774076084608,0.17098278161242364,0.1748857843824081,0.1745678601310464,0.1735622891848783,0.18217469994585533,0.16821472292646789,0.17508010944716662,0.17605403209072348
Avg Losing Trade [%],-0.2413783213246185,-0.2501641412274793,-0.2489742828060466,-0.25651497768432613,-0.2681849621926388,-0.2260027446928904,-0.24585368819749592,-0.23414095459834727,-0.2423981372463789,-0.23971855112794285,-0.21686546351392788,-0.251145037510796,-0.22108213670501622,-0.22922694638243374,-0.2283640059388712,-0.20390549244753173,-0.2542118336101126,-0.23666477963553145,-0.21912746633214727,-0.23682431392285822,-0.19021473852065512,-0.22205892697562934,-0.21350965791717408,-0.20171767958488707,-0.21673208476018804
Avg Winning Trade Duration,2 days 18:02:24.966442953,3 days 12:09:43.783783783,3 days 07:56:45.405405405,3 days 22:28:43.943661971,3 days 10:25:39.310344827,2 days 22:07:39.574468085,4 days 01:46:40,3 days 08:21:20,3 days 09:23:00.451127819,3 days 03:22:40,2 days 22:14:38.048780487,3 days 17:48:00,3 days 17:26:09.230769230,3 days 04:50:25.210084033,4 days 04:04:04.067796610,3 days 00:25:15.789473684,3 days 21:22:54.545454545,3 days 13:42:51.428571428,3 days 01:32:28.623853211,4 days 13:17:08.571428571,3 days 00:45:00,4 days 03:49:47.234042553,3 days 18:49:05.454545454,3 days 05:06:22.978723404,5 days 05:03:09.473684210
Avg Losing Trade Duration,5 days 11:39:25.714285714,5 days 18:58:03.870967741,6 days 12:00:00,6 days 21:33:33.559322033,7 days 06:44:12.631578947,5 days 07:21:17.419354838,6 days 08:26:40,6 days 05:40:21.818181818,6 days 19:12:00,7 days 08:36:13.584905660,5 days 10:20:41.379310344,7 days 19:35:30.612244898,6 days 10:04:48,6 days 05:26:02.264150943,7 days 10:30:00,4 days 22:36:55.384615384,8 days 23:24:52.682926829,7 days 20:39:04.186046511,6 days 09:23:28.695652173,6 days 21:32:18.461538461,4 days 15:21:36,6 days 14:17:08.571428571,7 days 22:14:38.048780487,6 days 06:17:08.571428571,6 days 15:46:17.142857142
Profit Factor,1.530199366268957,1.7716171405518668,1.753340312060619,1.7834530858567634,1.7960655140219501,1.8366312172868744,1.9193976565890445,1.8260288276060965,1.8410560756265872,1.9331051369741925,1.8434215698763634,1.8944464947740942,1.9079542434029233,1.7901053239380542,1.991317468527211,1.9423758119060512,1.9628986287895824,1.7661368926813639,1.8905088330580948,2.1164462868153113,1.7466440081547545,1.8362775948265626,1.6917069992978,1.9390510934382794,2.200658942313494
Expectancy,0.04292027661774213,0.06000909521216723,0.0567291838829575,0.06220169369067481,0.06423716967936252,0.06099991744091436,0.06729208651923677,0.058058477281738505,0.0623671497416486,0.06609100720397817,0.06153847910045808,0.06761544388642449,0.062099073658543516,0.05774602879369059,0.06812491521445545,0.06369260502465673,0.06932355633992554,0.05427199348195261,0.06029790974573754,0.07160770085655867,0.050484164480037966,0.05917776975912509,0.04800491996982065,0.060803794630354124,0.07327062493762494
Sharpe Ratio,0.8058582471016809,0.9517703341830905,0.921792434744689,0.948773600211468,0.9880849919962619,1.0660475070230822,0.9819009086875091,0.9124729782366789,0.9512806629763624,1.0103819241977263,1.009123135121596,0.9187878069641329,0.8793884291493397,0.8619425970225798,0.9383225063173407,1.1011584463456536,0.9096128548145584,0.7261245729353255,0.926998176791761,0.999260102595402,0.8200249577407286,0.7807312868189383,0.5835850544075553,0.8591862688856009,0.9186339272003495
Calmar Ratio,0.38666563949947164,0.396431404710407,0.4412975546692733,0.40183642654812324,0.3886853546541008,0.48732081704093805,0.36601408014815606,0.33387802239259856,0.38109137552690475,0.3735992856561432,0.545265421564425,0.4149364824247414,0.33175467702032113,0.2678324080299912,0.39363941973480615,0.5945873219268452,0.4610188636570479,0.2743178469328294,0.3623984678138925,0.4987986636926408,0.3768446753855481,0.35159462202221825,0.2773990242969422,0.36462956260554064,0.5086295342736027
Omega Ratio,1.2931277383875839,1.3367728061020208,1.3229453187217264,1.3200163372860498,1.3417849025687127,1.4261710354333785,1.3473831741547146,1.3401077592372046,1.3493062487964558,1.3790976690584622,1.4208737064303196,1.3354988173608235,1.3369178952589993,1.3428676895680935,1.3458683991842868,1.4794664958051762,1.3296721927648576,1.2796974042841065,1.390548961081382,1.378753552087131,1.3656445460466473,1.3127664578194989,1.230336605244048,1.3841949478862765,1.3603880896386813
Sortino Ratio,1.1674785116429707,1.4547248097914278,1.3850353705258605,1.4232265002264255,1.4989864027889808,1.6163792867223834,1.5144958811018392,1.369257921173785,1.4415184326068797,1.5369361000609478,1.5407930463305184,1.4217187526649735,1.3193970186607498,1.2988948351889844,1.4167120838114768,1.7747831002249175,1.4423419957983916,1.058566592329237,1.457887083045489,1.565634130464929,1.2597611121834749,1.2383774782018173,0.8359205759827504,1.352856449431055,1.4347124484388718
