Period,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00,3701 days 00:00:00
Max Drawdown Duration,2707 days 00:00:00,707 days 00:00:00,674 days 00:00:00,706 days 00:00:00,711 days 00:00:00,1393 days 00:00:00,684 days 00:00:00,617 days 00:00:00,706 days 00:00:00,1284 days 00:00:00,1417 days 00:00:00,691 days 00:00:00,783 days 00:00:00,1284 days 00:00:00,1416 days 00:00:00,1393 days 00:00:00,1284 days 00:00:00,1191 days 00:00:00,1284 days 00:00:00,1415 days 00:00:00,1417 days 00:00:00,1118 days 00:00:00,1393 days 00:00:00,1417 days 00:00:00,1394 days 00:00:00
Total Trades,205,202,198,189,191,185,183,179,170,173,165,165,161,153,156,155,153,152,144,148,136,141,139,130,134
Total Closed Trades,205,202,198,189,191,185,183,179,170,173,165,165,161,153,156,155,153,152,144,148,136,141,139,130,134
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],61.951219512195124,66.83168316831683,68.18181818181817,69.31216931216932,67.5392670157068,63.24324324324324,67.21311475409836,69.27374301675978,69.41176470588235,68.78612716763006,61.81818181818181,66.06060606060606,67.70186335403726,68.62745098039215,68.58974358974359,63.87096774193548,66.01307189542483,67.10526315789474,69.44444444444444,68.91891891891892,63.970588235294116,64.53900709219859,66.90647482014388,69.23076923076923,68.65671641791045
Best Trade [%],1.0101851272133764,0.3331135123847676,0.779665653519476,0.8718674368047284,0.33311351238475995,1.010185127213369,0.32311773513168196,0.7796656535194654,0.8718674368047334,0.3231177351316892,1.0101851272133795,0.32311773513169684,0.3231177351316952,0.8718674368047314,0.3231177351317012,1.0101851272133688,0.3231177351316871,0.32311773513169223,0.8718674368047238,0.3231177351316973,1.0101851272133833,0.32311773513168746,0.32311773513169184,0.87186743680475,0.3231177351316886
Worst Trade [%],-0.6603275943061618,-0.48949288446321837,-0.6603275943061527,-0.8922136261476485,-0.6838812617850692,-0.7247497104209293,-0.5308444459131976,-0.5072544844437596,-0.6450780134380005,-0.5072544844437594,-0.7247497104209175,-0.5308444459132011,-0.5072544844437727,-0.6450780134380094,-0.6763523018991134,-0.7247497104209186,-0.5308444459132118,-0.507254484443767,-0.6729301251530392,-0.5589416377551009,-0.7247497104209168,-0.5308444459132016,-0.5072544844437701,-0.6729301251530379,-0.5589416377550943
Avg Winning Trade [%],0.09394914749699107,0.08605840772118283,0.09062302615109406,0.09564231355334601,0.08932382363345549,0.09326194720588891,0.08572467596831791,0.09175580902225959,0.09597474375605483,0.08752802301838193,0.0979570823457597,0.08724385171388797,0.08691765843208105,0.0931630194678374,0.08790596335549176,0.09795492290426151,0.08784865706148048,0.08598661358953864,0.09275799312595027,0.08755586114838583,0.10318496190627555,0.08877368794449561,0.08654074051924215,0.09613276673625468,0.09022837272327826
Avg Losing Trade [%],-0.1295646851856046,-0.1328786238744761,-0.13671004852347435,-0.16696185348114587,-0.15242646002268248,-0.1353553948226687,-0.13419136734808318,-0.1411877785528364,-0.1652496680508506,-0.15861696010538148,-0.13949620833942056,-0.13407104413891974,-0.14210268574217802,-0.17172143640353338,-0.17396064436913578,-0.14780770307379448,-0.14058006996960246,-0.14003179459846604,-0.17891869175822106,-0.17440073730852254,-0.15602406796747761,-0.12720974363277923,-0.13930849166019943,-0.18336042642261313,-0.17766396479354918
Avg Winning Trade Duration,3 days 14:21:43.937007874,3 days 11:44:00,4 days 01:04:00,4 days 01:27:56.335877862,3 days 21:23:43.255813953,3 days 15:10:46.153846153,3 days 11:07:19.024390243,4 days 01:09:40.645161290,4 days 01:13:13.220338983,4 days 05:14:37.310924369,3 days 17:52:56.470588235,3 days 12:19:48.990825688,3 days 23:20:22.018348623,3 days 17:22:17.142857142,4 days 07:37:34.205607476,3 days 18:40:00,3 days 12:35:38.613861386,3 days 22:49:24.705882352,3 days 17:31:12,4 days 08:56:28.235294117,3 days 20:41:22.758620689,3 days 11:20:26.373626373,3 days 23:44:30.967741935,3 days 16:00:00,4 days 10:26:05.217391304
Avg Losing Trade Duration,5 days 14:27:41.538461538,6 days 11:27:45.671641791,7 days 00:45:42.857142857,7 days 21:55:51.724137931,7 days 14:42:34.838709677,5 days 13:45:52.941176470,6 days 06:24:00,7 days 09:36:00,8 days 12:00:00,7 days 04:26:40,5 days 16:45:42.857142857,6 days 03:51:25.714285714,7 days 12:55:23.076923076,8 days 20:30:00,7 days 16:39:11.020408163,5 days 19:42:51.428571428,7 days 14:18:27.692307692,6 days 12:57:36,9 days 10:54:32.727272727,7 days 00:00:00,6 days 16:09:47.755102040,6 days 16:48:00,6 days 04:41:44.347826087,10 days 01:12:00,6 days 22:51:25.714285714
Profit Factor,1.1758846139422112,1.3004555638102002,1.4150113298365228,1.2871146452190416,1.2153045057348413,1.1802613469361507,1.3032945454975837,1.4584250556763194,1.310951723053166,1.2115848304240162,1.1323011169064745,1.2611527123819457,1.276467638090315,1.1815859652530645,1.1000714220259997,1.1662740999883534,1.2088641378947005,1.2475253062229652,1.17291631180378,1.109752745021382,1.1696411663444193,1.2661613636573064,1.251923473889371,1.175025722847809,1.1095099606395002
Expectancy,0.008860807159773942,0.01353038861263136,0.018509405970978283,0.015108411109716911,0.010845406997141198,0.009174659871300991,0.013696296272958514,0.020430753772825237,0.016138197853365108,0.010681130290953751,0.0071921756425427225,0.01215480462765059,0.012978694064482016,0.009986524474440386,0.005545152550282574,0.009074779125790182,0.010188825470170117,0.01164083287886461,0.009650398260391789,0.006035862324381747,0.009692414856081702,0.012191109318421281,0.011794387161457906,0.010025214908383782,0.006153271059975485
Sharpe Ratio,0.26922510078827383,0.40259343491202104,0.5006408242212138,0.38378714489614607,0.2894485991226301,0.2660894768912652,0.38730562022554094,0.5219674420587098,0.383276902673155,0.2757298019072393,0.1910707703336555,0.3187987399757852,0.3250207665778585,0.2241555788129383,0.13342829853983706,0.22933454097300215,0.2440291562580211,0.28534583608398084,0.20625647638261302,0.14107377983226776,0.21843483144599837,0.2860805349811188,0.28039598576886576,0.20195774125291474,0.1371483981456627
Calmar Ratio,0.10923477115206918,0.2644656715022198,0.3156388374701459,0.23117637023458912,0.17195533341957459,0.100786194834037,0.18947457428342507,0.30866990781133136,0.2461254610127339,0.17146910298116186,0.06326167383890223,0.13849186426275348,0.15335677977909312,0.10338715127507075,0.06509313954343862,0.07549925347738952,0.09799573618723613,0.13809825400217202,0.08405837070318614,0.061633678678558096,0.08126664819815177,0.15311898492964926,0.14913142911983862,0.08532355826352728,0.056174396866697826
Omega Ratio,1.0848401944644568,1.1277282210870523,1.1595448188604693,1.117545840755835,1.0874193351009158,1.0882811223360687,1.1315943043394845,1.1745652893544587,1.1222576943557698,1.0876448000717227,1.065030644973221,1.1122407182480134,1.1075516586687308,1.0740604351518999,1.0426665748208501,1.0809374257667586,1.0834950305059612,1.1006487238706781,1.0692185034073154,1.0475095574226683,1.0789912551404317,1.1060845278036224,1.1042655536071098,1.0703153831757466,1.0484264149879812
Sortino Ratio,0.3742893423957603,0.5744852890048459,0.7381704419847861,0.5491879549758926,0.4070615333075655,0.36549197162439523,0.540502356965008,0.7701976712218649,0.5459839839429386,0.38187953459938045,0.26094652403953106,0.44215989206240885,0.4547570691645467,0.3154400794509462,0.18297307513140315,0.31352344728563997,0.3368268441050596,0.3942160121506553,0.2893460652305066,0.19299194178721374,0.29866619217268353,0.3953907211037065,0.3878386067703605,0.2838582163513422,0.1875057759648707
