,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704
Period,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,73.51406041816976,77.39920643042507,79.63366553635488,78.42172053188753,81.96832612753997,86.34410940276184,98.01425627080181,98.6513396128586,102.39642670535422,97.67113444464619,82.94192272958225,103.04483883746637,101.42539136098533,100.89167052894578,96.59837464585264,87.64593292970352,93.2251879822593,95.28322112193005,99.26542307447677,99.38753132418834,88.9871522196178,91.69582220345968,94.16694220129567,96.5030393306875,95.6130728893307
Total Return [%],-26.485939581830237,-22.600793569574932,-20.366334463645117,-21.57827946811247,-18.031673872460033,-13.655890597238155,-1.985743729198191,-1.3486603871413934,2.396426705354216,-2.328865555353815,-17.058077270417755,3.044838837466372,1.42539136098533,0.8916705289457809,-3.4016253541473556,-12.35406707029648,-6.7748120177407,-4.716778878069945,-0.7345769255232284,-0.6124686758116553,-11.012847780382202,-8.304177796540316,-5.833057798704331,-3.4969606693125,-4.386927110669305
Benchmark Return [%],-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],39.450899725372416,37.672516081933686,36.62331090751895,37.805272892002115,34.49636664588142,29.340414381397377,28.01099837307111,25.457676391802647,22.553587251773934,22.240939400629898,30.565827879979384,25.20064274386627,25.06772673693705,23.355291721235442,22.601194037105294,25.530885280556014,24.35849789783786,23.625021716309035,21.914808359227536,25.146536113638156,24.574345038346994,24.094148208904954,21.366884002665547,21.791994966973874,24.17721372825163
