,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Max Drawdown Duration,1554 days 00:00:00,1310 days 00:00:00,1310 days 00:00:00,1310 days 00:00:00,1276 days 00:00:00,1283 days 00:00:00,1294 days 00:00:00,1294 days 00:00:00,1079 days 00:00:00,1079 days 00:00:00,1283 days 00:00:00,1294 days 00:00:00,1294 days 00:00:00,1079 days 00:00:00,1079 days 00:00:00,1283 days 00:00:00,1294 days 00:00:00,1294 days 00:00:00,664 days 00:00:00,1079 days 00:00:00,1283 days 00:00:00,1294 days 00:00:00,1294 days 00:00:00,1294 days 00:00:00,1079 days 00:00:00
Total Trades,71,73,73,71,70,62,60,63,62,60,58,56,59,58,56,53,53,55,54,52,47,47,49,48,46
Total Closed Trades,71,73,73,71,70,62,60,63,62,60,58,56,59,58,56,53,53,55,54,52,47,47,49,48,46
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],52.112676056338024,52.054794520547944,57.534246575342465,60.56338028169014,57.14285714285714,53.2258064516129,53.333333333333336,58.730158730158735,61.29032258064516,58.333333333333336,51.724137931034484,50.0,55.932203389830505,58.620689655172406,55.35714285714286,52.83018867924528,50.943396226415096,56.36363636363636,59.25925925925925,55.769230769230774,51.06382978723404,51.06382978723404,55.10204081632652,58.333333333333336,54.347826086956516
Best Trade [%],2.9053013214903713,2.7427405514387155,2.3606825138063616,2.6187955189486205,3.043269849064084,2.9053013214903842,2.7427405514387035,2.0421236893040287,2.618795518948626,3.0432698490640746,2.90530132149038,2.7427405514387115,2.042123689304031,2.618795518948617,3.043269849064095,2.9053013214903625,2.742740551438717,2.042123689304016,2.618795518948617,3.0432698490640764,2.90530132149037,2.742740551438701,2.042123689304025,2.618795518948628,3.043269849064096
Worst Trade [%],-4.981476454042943,-6.104468736206608,-5.234887058080469,-10.963344432686394,-9.966757345241591,-5.434144143943049,-4.498769424895831,-10.327707581428863,-9.32400581212376,-9.538500855971357,-5.434144143943048,-4.498769424895849,-10.327707581428866,-9.324005812123755,-9.538500855971368,-7.302376087135191,-6.264811789153072,-6.486543389511292,-4.901937315445967,-4.901937315445971,-7.302376087135196,-7.341390344023351,-6.48654338951129,-4.9019373154459664,-4.901937315445965
Avg Winning Trade [%],0.7748340780593501,0.8447477975599398,0.7574308267431525,0.7678307218385712,0.7511547042062596,0.799927119560525,0.860698705458535,0.7566210225123479,0.8344572585188595,0.7885906705429683,0.8461957016683197,0.8742137395805551,0.7554728474708828,0.842500057567617,0.7914935355672978,0.8929192457107082,0.9390209419213643,0.8239859724472528,0.8925193486476498,0.870041422931955,0.887321113184184,0.9520530749980746,0.8575340954178603,0.8766896009272428,0.9013693473060741
Avg Losing Trade [%],-1.1699829330933864,-1.0743645797757102,-1.0033265276272034,-1.237573970565488,-1.149521133976561,-1.1308334308390728,-1.13139996802868,-1.265212592838513,-1.2586632857244193,-1.273328601563706,-1.1363084732384858,-1.1313999680286821,-1.2652125928385125,-1.2586632857244178,-1.273328601563708,-1.2799777716906142,-1.2295572466560851,-1.1513587214923786,-1.1164640226283404,-1.1089913204271635,-1.436988636870718,-1.4170970181881883,-1.2246337349085634,-1.1663113592897156,-1.151362804519033
Avg Winning Trade Duration,2 days 10:22:42.162162162,2 days 23:22:06.315789473,3 days 08:34:17.142857142,5 days 05:34:53.023255814,4 days 15:36:00,2 days 13:05:27.272727272,3 days 00:45:00,3 days 11:01:37.297297297,4 days 11:22:06.315789473,5 days 00:41:08.571428571,4 days 13:36:00,3 days 03:25:42.857142857,3 days 14:32:43.636363636,4 days 17:38:49.411764705,5 days 09:17:25.161290322,4 days 12:00:00,2 days 23:06:40,3 days 08:30:58.064516129,4 days 13:30:00,5 days 04:08:16.551724137,4 days 22:00:00,3 days 05:00:00,3 days 13:20:00,5 days 01:42:51.428571428,5 days 15:21:36
Avg Losing Trade Duration,6 days 00:00:00,5 days 16:27:25.714285714,6 days 17:01:56.129032258,5 days 12:51:25.714285714,6 days 08:47:59.999999999,6 days 07:26:53.793103448,7 days 08:34:17.142857142,5 days 10:09:13.846153846,5 days 15:00:00,6 days 12:28:48,5 days 00:51:25.714285714,7 days 08:34:17.142857142,5 days 10:09:13.846153846,5 days 15:00:00,6 days 12:28:48,5 days 04:48:00,6 days 01:50:46.153846153,5 days 12:00:00,5 days 16:21:49.090909090,6 days 13:33:54.782608695,6 days 08:20:52.173913043,6 days 12:31:18.260869565,5 days 15:16:21.818181818,5 days 19:12:00,6 days 17:08:34.285714285
Profit Factor,0.7062723430594761,0.8355485981759055,1.0060843287187669,0.9242041992871068,0.8484127723157732,0.7909681770436979,0.8552931151373802,0.8284922078347916,1.021901429241383,0.8458315168257827,0.7819650780196051,0.7609805311276238,0.7392764068410475,0.9235620086392835,0.7535483998705567,0.7614346301665741,0.7772730531297058,0.906659111366238,1.1412100890806658,0.9721403463886201,0.6252326168873165,0.6861312438726919,0.8439040297133491,1.0330339657442313,0.9166702772390921
