,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704
Period,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00,3688 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,120.17243227574816,120.17243227574816,120.17243227574816,120.17243227574816,100.0,120.17243227574816,120.17243227574816,120.17243227574816,120.17243227574816,121.80990684829618,120.17243227574816,120.17243227574816,120.17243227574816,120.17243227574816,122.10649800552586,120.17243227574816,120.17243227574816,120.17243227574816,120.17243227574816,120.45385493348614,120.2745230235838,120.2745230235838,120.2745230235838,120.2745230235838,120.2745230235838
Total Return [%],20.172432275748164,20.172432275748164,20.172432275748164,20.172432275748164,0.0,20.172432275748164,20.172432275748164,20.172432275748164,20.172432275748164,21.80990684829618,20.172432275748164,20.172432275748164,20.172432275748164,20.172432275748164,22.106498005525864,20.172432275748164,20.172432275748164,20.172432275748164,20.172432275748164,20.45385493348614,20.274523023583797,20.274523023583797,20.274523023583797,20.274523023583797,20.274523023583797
Benchmark Return [%],-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004,-19.730996884433004
Max Gross Exposure [%],100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],22.550218077411962,22.550218077411962,22.550218077411962,22.550218077411962,,22.550218077411962,22.550218077411962,22.550218077411962,22.550218077411962,21.64988151892498,22.550218077411962,22.550218077411962,22.550218077411962,22.550218077411962,21.490609977756137,22.550218077411962,22.550218077411962,22.550218077411962,22.550218077411962,22.392900661992176,22.493022348297625,22.493022348297625,22.493022348297625,22.493022348297625,22.493022348297625
