,"(0.5, 0.1)","(0.5, 0.2)","(0.5, 0.3)","(0.5, 0.4)","(0.5, 0.5)","(0.6, 0.1)","(0.6, 0.2)","(0.6, 0.3)","(0.6, 0.4)","(0.6, 0.5)","(0.7, 0.1)","(0.7, 0.2)","(0.7, 0.3)","(0.7, 0.4)","(0.7, 0.5)","(0.8, 0.1)","(0.8, 0.2)","(0.8, 0.3)","(0.8, 0.4)","(0.8, 0.5)","(0.9, 0.1)","(0.9, 0.2)","(0.9, 0.3)","(0.9, 0.4)","(0.9, 0.5)"
Start,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705,3705
End,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292
Period,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00,1588 days 00:00:00
Worst Trade [%],8.750432437363273,8.750432437363273,9.875413389743612,9.875413389743612,,8.750432437363273,8.750432437363273,9.315453961789958,9.315453961789958,9.315453961789958,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,,,,,
Avg Winning Trade [%],8.750432437363273,8.750432437363273,9.875413389743612,9.875413389743612,,8.750432437363273,8.750432437363273,9.315453961789958,9.315453961789958,9.315453961789958,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,,,,,
Avg Losing Trade [%],,,,,,,,,,,,,,,,,,,,,,,,,
Avg Winning Trade Duration,1587 days 00:00:00,1587 days 00:00:00,1577 days 00:00:00,1577 days 00:00:00,,1587 days 00:00:00,1587 days 00:00:00,1579 days 00:00:00,1579 days 00:00:00,1579 days 00:00:00,1587 days 00:00:00,1587 days 00:00:00,1581 days 00:00:00,1581 days 00:00:00,1581 days 00:00:00,1587 days 00:00:00,1587 days 00:00:00,1581 days 00:00:00,1581 days 00:00:00,1581 days 00:00:00,,,,,
Avg Losing Trade Duration,,,,,,,,,,,,,,,,,,,,,,,,,
Profit Factor,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,,,,
Expectancy,8.750432437363273,8.750432437363273,9.875413389743613,9.875413389743613,,8.750432437363273,8.750432437363273,9.315453961789956,9.315453961789956,9.315453961789956,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,8.750432437363273,8.750432437363273,9.534125699480342,9.534125699480342,9.534125699480342,,,,,
Sharpe Ratio,0.2556515326036178,0.2556515326036178,0.28620618334142683,0.28620618334142683,inf,0.2556515326036178,0.2556515326036178,0.27094959279747777,0.27094959279747777,0.27094959279747777,0.2556515326036178,0.2556515326036178,0.2768241148242713,0.2768241148242713,0.2768241148242713,0.2556515326036178,0.2556515326036178,0.2768241148242713,0.2768241148242713,0.2768241148242713,0.2556515326036178,0.2556515326036178,0.2639705198077776,0.2639705198077776,0.2639705198077776
Calmar Ratio,0.11549694093818628,0.11549694093818628,0.13259018014619237,0.13259018014619237,,0.11549694093818628,0.11549694093818628,0.12401184973779543,0.12401184973779543,0.12401184973779543,0.11549694093818628,0.11549694093818628,0.12734511543835306,0.12734511543835306,0.12734511543835306,0.11549694093818628,0.11549694093818628,0.12734511543835306,0.12734511543835306,0.12734511543835306,0.11549694093818628,0.11549694093818628,0.12020367811997076,0.12020367811997076,0.12020367811997076
Omega Ratio,1.036580539923714,1.036580539923714,1.0411962498533618,1.0411962498533618,inf,1.036580539923714,1.036580539923714,1.0389294728459284,1.0389294728459284,1.0389294728459284,1.036580539923714,1.036580539923714,1.0397771720874835,1.0397771720874835,1.0397771720874835,1.036580539923714,1.036580539923714,1.0397771720874835,1.0397771720874835,1.0397771720874835,1.036580539923714,1.036580539923714,1.0378121976417354,1.0378121976417354,1.0378121976417354
Sortino Ratio,0.3694993014303896,0.3694993014303896,0.41386557108619065,0.41386557108619065,inf,0.3694993014303896,0.3694993014303896,0.391624380146699,0.391624380146699,0.391624380146699,0.3694993014303896,0.3694993014303896,0.400136257192394,0.400136257192394,0.400136257192394,0.3694993014303896,0.3694993014303896,0.400136257192394,0.400136257192394,0.400136257192394,0.3694993014303896,0.3694993014303896,0.38157601579847134,0.38157601579847134,0.38157601579847134
