Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,1.0565240383148193,1.0590976476669312,1.0492738485336304,1.0565240383148193,1.0565240383148193,0
2023-10-03,1.0480751991271973,1.049428105354309,1.0449867248535156,1.0480751991271973,1.0480751991271973,0
2023-10-04,1.0472300052642822,1.0532413721084595,1.045369029045105,1.0472300052642822,1.0472300052642822,0
2023-10-05,1.0507071018218994,1.0536853075027466,1.0500892400741577,1.0507071018218994,1.0507071018218994,0
2023-10-06,1.0546631813049316,1.0598160028457642,1.0483938455581665,1.0546631813049316,1.0546631813049316,0
2023-10-09,1.056747317314148,1.0576413869857788,1.0521442890167236,1.056747317314148,1.056747317314148,0
2023-10-10,1.0578875541687012,1.061954379081726,1.0555983781814575,1.0578875541687012,1.0578875541687012,0
2023-10-11,1.0604791641235352,1.063354730606079,1.0592771768569946,1.0604791641235352,1.0604791641235352,0
2023-10-12,1.0624282360076904,1.0639089345932007,1.0545964241027832,1.0624282360076904,1.0624282360076904,0
2023-10-13,1.0536741018295288,1.0558546781539917,1.0496152639389038,1.0536741018295288,1.0536741018295288,0
2023-10-16,1.0521553754806519,1.055464744567871,1.0516352653503418,1.0521553754806519,1.0521553754806519,0
2023-10-17,1.0554312467575073,1.0595004558563232,1.0533411502838135,1.0554312467575073,1.0554312467575073,0
2023-10-18,1.057305932044983,1.0595465898513794,1.0527091026306152,1.057305932044983,1.057305932044983,0
2023-10-19,1.053851842880249,1.0585371255874634,1.0528864860534668,1.053851842880249,1.053851842880249,0
2023-10-20,1.0586491823196411,1.0601080656051636,1.056579828262329,1.0586491823196411,1.0586491823196411,0
2023-10-23,1.0589966773986816,1.064736008644104,1.057183027267456,1.0589966773986816,1.0589966773986816,0
2023-10-24,1.0669853687286377,1.0690499544143677,1.0584250688552856,1.0669853687286377,1.0669853687286377,0
2023-10-25,1.059535264968872,1.0606703758239746,1.0566803216934204,1.059535264968872,1.059535264968872,0
2023-10-26,1.056725025177002,1.0569707155227661,1.0526316165924072,1.056725025177002,1.056725025177002,0
2023-10-27,1.0564459562301636,1.0597710609436035,1.053629755973816,1.0564459562301636,1.0564459562301636,0
2023-10-30,1.0562450885772705,1.0625998973846436,1.054841160774231,1.0562450885772705,1.0562450885772705,0
2023-10-31,1.061503529548645,1.0669056177139282,1.0567585229873657,1.061503529548645,1.061503529548645,0
2023-11-01,1.0579099655151367,1.0580778121948242,1.0522881746292114,1.0579099655151367,1.0579099655151367,0
2023-11-02,1.05870521068573,1.067008137702942,1.0584250688552856,1.05870521068573,1.05870521068573,0
2023-11-03,1.0619093179702759,1.0736998319625854,1.0615485906600952,1.0619093179702759,1.0619093179702759,0
2023-11-06,1.0732147693634033,1.075700283050537,1.0723400115966797,1.0732147693634033,1.0732147693634033,0
