Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,EUR,USD,EUR,USD,EUR,USD,EUR,USD,EUR,USD,EUR,USD
Date,,,,,,,,,,,,
2007-02-01,,2.565361976623535,,2.9487500190734863,,2.9487500190734863,,2.9487500190734863,,2.9487500190734863,,12000
2007-02-02,,2.611398220062256,,3.001667022705078,,3.001667022705078,,3.001667022705078,,3.001667022705078,,60000
2007-02-05,,2.647284746170044,,3.042917013168335,,3.0625,,3.024583101272583,,3.0625,,69600
2007-02-06,,2.621910810470581,,3.0137500762939453,,3.014583110809326,,2.9583330154418945,,2.995832920074463,,62400
2007-02-07,,2.7060091495513916,,3.110416889190674,,3.110416889190674,,3.0333330631256104,,3.0587499141693115,,86400
2007-02-08,,2.634960174560547,,3.028749942779541,,3.028749942779541,,3.028749942779541,,3.028749942779541,,24000
2007-02-09,,2.589648485183716,,2.9766669273376465,,3.132499933242798,,2.9766669273376465,,3.132499933242798,,223200
2007-02-12,,2.56282377243042,,2.9458329677581787,,2.9458329677581787,,2.9458329677581787,,2.9458329677581787,,2400
2007-02-13,,2.5526742935180664,,2.93416690826416,,2.936666965484619,,2.920833110809326,,2.936666965484619,,40800
2007-02-14,,2.654172420501709,,3.050832986831665,,3.0662500858306885,,2.981250047683716,,2.987499952316284,,84000
2007-02-15,,2.684622049331665,,3.0858330726623535,,3.0858330726623535,,3.0758330821990967,,3.0758330821990967,,14400
2007-02-16,,2.668673038482666,,3.067500114440918,,3.0758330821990967,,3.067500114440918,,3.072499990463257,,304800
2007-02-20,,2.669034957885742,,3.0679171085357666,,3.081666946411133,,2.9920830726623535,,2.9920830726623535,,132000
2007-02-21,,2.633147954940796,,3.0266671180725098,,3.0266671180725098,,3.015000104904175,,3.015000104904175,,26400
2007-02-22,,2.7545828819274902,,3.166249990463257,,3.180417060852051,,3.1279170513153076,,3.1533329486846924,,343200
2007-02-23,,2.7774198055267334,,3.192500114440918,,3.209167003631592,,3.183332920074463,,3.191667079925537,,148800
2007-02-26,,2.7632830142974854,,3.1762499809265137,,3.18416690826416,,3.15291690826416,,3.18416690826416,,57600
2007-02-27,,2.5718860626220703,,2.956249952316284,,3.1066670417785645,,2.9512500762939453,,3.0737500190734863,,436800
2007-02-28,,2.5747861862182617,,2.959583044052124,,2.9937500953674316,,2.9370830059051514,,2.9937500953674316,,276000
2007-03-01,,2.5186009407043457,,2.8949999809265137,,2.930417060852051,,2.795833110809326,,2.795833110809326,,124800
2007-03-02,,2.432326316833496,,2.795833110809326,,2.875833034515381,,2.790832996368408,,2.875833034515381,,516000
2007-03-05,,2.3804900646209717,,2.7362499237060547,,2.825000047683716,,2.7362499237060547,,2.8012499809265137,,100800
2007-03-06,,2.4703874588012695,,2.839582920074463,,2.851249933242798,,2.793333053588867,,2.8179171085357666,,264000
2007-03-07,,2.4363136291503906,,2.800416946411133,,2.834167003631592,,2.800416946411133,,2.834167003631592,,340800
2007-03-08,,2.499025344848633,,2.872499942779541,,2.8958330154418945,,2.8566670417785645,,2.8566670417785645,,165600
2007-03-09,,2.5193238258361816,,2.8958330154418945,,2.9549999237060547,,2.855417013168335,,2.9549999237060547,,84000
2007-03-12,,2.56862473487854,,2.952500104904175,,2.972917079925537,,2.942500114440918,,2.9462499618530273,,48000
2007-03-13,,2.4707510471343994,,2.8399999141693115,,2.9262499809265137,,2.836667060852051,,2.9262499809265137,,249600
2007-03-14,,2.4711129665374756,,2.84041690826416,,2.8566670417785645,,2.785417079925537,,2.8333330154418945,,504000
2007-03-15,,2.4823508262634277,,2.853332996368408,,2.8729169368743896,,2.8279170989990234,,2.8729169368743896,,607200
2007-03-16,,2.4519011974334717,,2.8183329105377197,,2.8308329582214355,,2.8041670322418213,,2.8041670322418213,,592800
2007-03-19,,2.432326316833496,,2.795833110809326,,2.8383328914642334,,2.795833110809326,,2.8383328914642334,,96000
2007-03-20,,2.4577012062072754,,2.825000047683716,,2.827083110809326,,2.797916889190674,,2.797916889190674,,14400
2007-03-21,,2.539262533187866,,2.918750047683716,,2.951667070388794,,2.824167013168335,,2.8333330154418945,,225600
2007-03-22,,2.4986627101898193,,2.8720829486846924,,2.8975000381469727,,2.8720829486846924,,2.897083044052124,,168000
2007-03-23,,2.5302000045776367,,2.9083330631256104,,2.9083330631256104,,2.882499933242798,,2.882499933242798,,57600
2007-03-26,,2.511712074279785,,2.887083053588867,,2.899583101272583,,2.836250066757202,,2.899583101272583,,50400
2007-03-27,,2.4997503757476807,,2.873332977294922,,2.890000104904175,,2.8666670322418213,,2.884999990463257,,40800
2007-03-28,,2.4236268997192383,,2.7858328819274902,,2.831249952316284,,2.785417079925537,,2.8258330821990967,,1029600
2007-03-29,,2.3873777389526367,,2.7441670894622803,,2.8299999237060547,,2.6954169273376465,,2.8299999237060547,,384000
2007-03-30,,2.404052734375,,2.7633330821990967,,2.7891669273376465,,2.745832920074463,,2.7891669273376465,,470400
2007-04-02,,2.3913662433624268,,2.7487499713897705,,2.7750000953674316,,2.6983330249786377,,2.7750000953674316,,64800
