,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,351,10.369276218611521,270,0.07149187592319055,780.867628761139
1,3,2,30,4,383,11.314623338257016,265,0.07178729689807976,753.5336786634628
2,3,2,30,5,402,11.875923190546528,262,0.07326440177252586,789.6159603291651
3,3,2,30,6,412,12.171344165435746,261,0.07178729689807976,794.4405209349741
4,3,2,30,7,412,12.171344165435746,258,0.07149187592319055,758.8119105005937
5,3,2,40,3,407,12.023633677991137,269,0.0688330871491876,845.5353261820019
6,3,2,40,4,447,13.205317577548007,264,0.06971935007385524,815.9467189386062
7,3,2,40,5,473,13.97341211225997,261,0.07031019202363367,881.4843024232781
8,3,2,40,6,481,14.209748892171344,259,0.0688330871491876,869.5317010144654
9,3,2,40,7,484,14.29837518463811,256,0.0688330871491876,840.2762522629748
10,3,2,50,3,469,13.855243722304284,259,0.06410635155096012,822.6723337060636
11,3,2,50,4,518,15.302806499261447,252,0.06617429837518464,771.4350788601705
12,3,2,50,5,554,16.366322008862628,249,0.06587887740029542,881.6198048347204
13,3,2,50,6,571,16.868537666174298,243,0.06351550960118169,788.1176411473714
14,3,2,50,7,589,17.40029542097489,241,0.06440177252584933,787.496137654593
15,3,2,60,3,528,15.598227474150665,256,0.06144756277695716,790.4335351613161
16,3,2,60,4,595,17.57754800590842,249,0.06558345642540621,777.7842037204199
17,3,2,60,5,644,19.025110782865582,244,0.06528803545051699,883.0290871163259
18,3,2,60,6,672,19.85228951255539,236,0.062333825701624816,786.4978839310156
19,3,2,60,7,701,20.70901033973412,233,0.06292466765140325,792.2179707052118
20,3,2,70,3,613,18.10930576070901,252,0.05790251107828656,748.7952572077164
21,3,2,70,4,701,20.70901033973412,237,0.06469719350073855,659.6745660842437
22,3,2,70,5,780,23.042836041358935,229,0.060561299852289516,752.6496610959435
23,3,2,70,6,807,23.840472673559823,216,0.05760709010339734,633.4420416129311
24,3,2,70,7,851,25.140324963072377,212,0.05819793205317578,671.4643683756286
25,3,3,30,3,348,10.280649926144756,272,0.07178729689807976,821.585292074347
26,3,3,30,4,382,11.285081240768095,268,0.07149187592319055,770.3185488704738
27,3,3,30,5,403,11.905465288035451,266,0.07208271787296898,855.9244145084793
28,3,3,30,6,408,12.053175775480058,265,0.07178729689807976,846.5763557282838
29,3,3,30,7,411,12.141802067946823,262,0.07178729689807976,807.4928222667514
30,3,3,40,3,445,13.146233382570163,266,0.0673559822747415,846.6904113036778
31,3,3,40,4,494,14.593796159527326,259,0.0688330871491876,793.6312794079431
32,3,3,40,5,536,15.83456425406204,255,0.07001477104874446,873.1724520522438
33,3,3,40,6,559,16.514032496307237,249,0.06617429837518464,813.4876934152874
34,3,3,40,7,580,17.134416543574595,246,0.06676514032496307,812.1543323487106
35,3,3,50,3,519,15.33234859675037,257,0.0638109305760709,813.6422149953063
36,3,3,50,4,594,17.548005908419498,250,0.06912850812407681,826.1636342010319
37,3,3,50,5,654,19.3205317577548,243,0.06794682422451995,922.1073127504784
38,3,3,50,6,684,20.20679468242245,232,0.06410635155096012,778.8884822654013
39,3,3,50,7,717,21.18168389955687,229,0.0638109305760709,809.0964313930099
40,3,3,60,3,608,17.9615952732644,254,0.05819793205317578,806.7721156179512
41,3,3,60,4,691,20.413589364844903,238,0.06351550960118169,711.3862519737262
