,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
0,3,2,30,3,398,9.444708115804461,333,0.07214048410061699,1174.064003150214
1,3,2,30,4,432,10.251542477456098,327,0.07427622211675368,1152.1035520248463
2,3,2,30,5,450,10.678690080683436,325,0.07332700522069292,1214.6051019943916
3,3,2,30,6,464,11.010915994304698,324,0.07261509254864737,1211.978458540426
4,3,2,30,7,471,11.17702895111533,323,0.0719031798766018,1239.5220393208904
5,3,2,40,3,446,10.583768391077362,326,0.07285239677266256,1154.74147177324
6,3,2,40,4,491,11.651637399145704,319,0.07356430944470811,1155.238567441103
7,3,2,40,5,517,12.268628381585192,317,0.07166587565258661,1215.9619519720763
8,3,2,40,6,538,12.766967252017086,314,0.07095396298054106,1197.806044843621
9,3,2,40,7,550,13.051732320835312,313,0.07119126720455624,1253.7967783609952
10,3,2,50,3,531,12.600854295206455,319,0.07047935453251068,1085.1026243627732
11,3,2,50,4,601,14.261983863312768,308,0.0719031798766018,1094.8020897878334
12,3,2,50,5,642,15.234931181775035,300,0.068343616516374,1121.04757438307
13,3,2,50,6,681,16.160417655434266,295,0.06763170384432843,1102.7054047211202
14,3,2,50,7,702,16.65875652586616,293,0.06739439962031324,1175.074020132351
15,3,2,60,3,622,14.76032273374466,314,0.0702420503084955,1086.7210021659785
16,3,2,60,4,703,16.68248694826768,298,0.0700047460844803,1080.7495013491473
17,3,2,60,5,770,18.272425249169434,287,0.06739439962031324,1063.2066343555239
18,3,2,60,6,816,19.364024679639297,279,0.06573327005220693,1038.4786652640782
19,3,2,60,7,852,20.218319886093973,276,0.06549596582819174,1101.240728946814
20,3,2,70,3,728,17.27574750830565,307,0.06786900806834362,1039.0405741723455
21,3,2,70,4,836,19.838633127669674,290,0.06858092074038918,1070.5266616162055
22,3,2,70,5,915,21.713336497389655,275,0.06549596582819174,1049.0086243695898
23,3,2,70,6,979,23.232083531086854,264,0.06312292358803986,1072.0755197947951
24,3,2,70,7,1029,24.41860465116279,258,0.06264831514000949,1127.2405799843864
25,3,3,30,3,395,9.373516848599905,332,0.07237778832463218,1158.0468221288854
26,3,3,30,4,436,10.346464167062173,325,0.07403891789273849,1148.0820991607059
27,3,3,30,5,461,10.939724727100142,323,0.07285239677266256,1220.8382030905923
28,3,3,30,6,479,11.36687233032748,322,0.07261509254864737,1227.8514731840955
29,3,3,30,7,488,11.580446131941148,320,0.07237778832463218,1245.5359619248854
30,3,3,40,3,498,11.817750355956337,321,0.07214048410061699,1107.7763111367408
31,3,3,40,4,563,13.360227812055054,310,0.07261509254864737,1116.3865967003728
32,3,3,40,5,607,14.40436639772188,304,0.06976744186046512,1156.211473646081
33,3,3,40,6,646,15.32985287138111,299,0.06953013763644993,1143.9884213999746
34,3,3,40,7,669,15.875652586616042,297,0.06976744186046512,1209.9498192589435
35,3,3,50,3,619,14.689131466540104,314,0.06953013763644993,1075.6555218577205
36,3,3,50,4,712,16.896060749881347,299,0.06976744186046512,1126.6570331792504
37,3,3,50,5,783,18.58092074038918,289,0.06739439962031324,1165.2503363089822
38,3,3,50,6,834,19.791172282866636,281,0.0664451827242525,1134.8233693717448
39,3,3,50,7,870,20.64546748932131,278,0.06668248694826769,1212.335534094199
40,3,3,60,3,739,17.536782154722353,309,0.06739439962031324,1048.410024022057
41,3,3,60,4,853,20.24205030849549,291,0.0664451827242525,1077.5321551549282
42,3,3,60,5,943,22.377788324632178,273,0.06502135738016136,1103.826797970445
43,3,3,60,6,1015,24.08637873754153,263,0.06264831514000949,1114.9929575943108
44,3,3,60,7,1079,25.60512577123873,257,0.061699098243948744,1197.978209047371
45,3,3,70,3,836,19.838633127669674,304,0.06359753203607024,1062.5074792744779
46,3,3,70,4,993,23.564309444708115,287,0.064546748932131,1154.6286075893802
47,3,3,70,5,1101,26.12719506407214,268,0.059800664451827246,1207.6841546964715
48,3,3,70,6,1184,28.096820123398196,254,0.05624110109159943,1209.3154048400106
49,3,3,70,7,1279,30.351210251542476,247,0.054579971523493115,1241.0526348831556
50,3,4,30,3,353,8.376839107736117,342,0.07617465590887518,1240.7694183500823
51,3,4,30,4,386,9.159943046986236,333,0.07641196013289037,1216.5937019665141
52,3,4,30,5,411,9.753203607024204,331,0.07593735168485999,1284.698520179188
53,3,4,30,6,429,10.180351210251542,331,0.07475083056478406,1296.306639915347
54,3,4,30,7,441,10.465116279069768,330,0.0757000474608448,1329.7892884570642
55,3,4,40,3,502,11.912672045562411,325,0.07308970099667775,1183.7602363906121
56,3,4,40,4,569,13.502610346464166,314,0.07237778832463218,1198.6407821224386
57,3,4,40,5,618,14.665401044138585,307,0.0700047460844803,1240.5112789706934
58,3,4,40,6,661,15.685809207403892,301,0.06905552918841955,1186.6775207577525
59,3,4,40,7,687,16.302800189843378,298,0.06929283341243474,1257.8998861891941
60,3,4,50,3,660,15.662078785002373,314,0.06881822496440437,1116.2261539670099
61,3,4,50,4,762,18.082581869957284,298,0.06976744186046512,1130.4741103541255
62,3,4,50,5,847,20.099667774086377,284,0.06668248694826769,1227.9923286487954
63,3,4,50,6,915,21.713336497389655,276,0.06502135738016136,1218.963187943213
64,3,4,50,7,970,23.018509729473184,271,0.06430944470811581,1347.0597799941768
65,3,4,60,3,785,18.628381585192216,308,0.0664451827242525,1040.488195901316
66,3,4,60,4,917,21.760797342192692,288,0.06525866160417655,1061.439627129812
67,3,4,60,5,1010,23.967726625533935,269,0.06336022781205505,1122.525633332923
